model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,2024,32,1,98.0342593236734,3e-06,1
Qwen,1.5B,SFT,2024,33,1,98.04395574221485,3e-06,1
Qwen,1.5B,SFT,2024,34,1,98.055857555881,3e-06,1
Qwen,1.5B,SFT,2024,35,1,98.06534713563164,3e-06,1
Qwen,1.5B,SFT,2024,36,1,98.07662551787821,3e-06,1
Qwen,1.5B,SFT,2024,37,1,98.0833155511138,3e-06,1
Qwen,1.5B,SFT,2024,38,1,98.08967300985766,3e-06,1
Qwen,1.5B,SFT,2024,39,1,98.09537840494092,3e-06,1
Qwen,1.5B,SFT,2024,40,1,98.09966877135318,3e-06,1
Qwen,1.5B,SFT,2024,41,1,98.10300449220945,3e-06,1
Qwen,1.5B,SFT,2024,42,1,98.10466840112923,3e-06,1
Qwen,1.5B,SFT,2024,43,1,98.10249740356102,3e-06,1
Qwen,1.5B,SFT,2024,44,1,98.09941943765263,3e-06,1
Qwen,1.5B,SFT,2024,45,1,98.09473204181698,3e-06,1
Qwen,1.5B,SFT,2024,46,1,98.08954941185802,3e-06,1
Qwen,1.5B,SFT,2024,47,1,98.08231407046677,3e-06,1
Qwen,1.5B,SFT,2024,48,1,98.07278316182526,3e-06,1
Qwen,1.5B,SFT,2024,49,1,98.06623337474755,3e-06,1
Qwen,1.5B,SFT,2024,50,1,98.06068254194268,3e-06,1
Qwen,1.5B,SFT,2024,51,1,98.05241676376927,3e-06,1
Qwen,1.5B,SFT,2024,52,1,98.04203679905787,3e-06,1
Qwen,1.5B,SFT,2024,53,1,98.03621234049277,3e-06,1
Qwen,1.5B,SFT,2024,54,1,98.03969744132137,3e-06,1
Qwen,1.5B,SFT,2024,55,1,98.03208087654023,3e-06,1
Qwen,1.5B,SFT,2024,56,1,97.99990154136708,3e-06,1
Qwen,1.5B,SFT,2024,57,1,97.97513031271362,3e-06,1
Qwen,1.5B,SFT,2024,58,1,97.9681081584381,3e-06,1
Qwen,1.5B,SFT,2024,59,1,97.94286035196316,3e-06,1
Qwen,1.5B,SFT,2024,60,1,97.9077548276705,3e-06,1
Qwen,1.5B,SFT,2024,61,1,97.97626012021458,3e-06,1
Qwen,1.5B,SFT,2024,62,1,97.97576838414784,3e-06,1
Qwen,1.5B,SFT,2024,63,1,97.95569569328808,3e-06,1
Qwen,1.5B,SFT,2024,64,1,97.95806109211254,3e-06,1
Qwen,1.5B,SFT,2024,65,1,97.9724455542779,3e-06,1
Qwen,1.5B,SFT,2024,66,1,98.00388602216385,3e-06,1
Qwen,1.5B,SFT,2024,67,1,98.03130048602569,3e-06,1
Qwen,1.5B,SFT,2024,68,1,98.06765663032945,3e-06,1
Qwen,1.5B,SFT,2024,69,1,98.10159425717157,3e-06,1
Qwen,1.5B,SFT,2024,70,1,98.1242614695627,3e-06,1
Qwen,1.5B,SFT,2024,71,1,98.14232750673534,3e-06,1
Qwen,1.5B,SFT,2024,72,1,98.18841569793474,3e-06,1
Qwen,1.5B,SFT,2024,73,1,98.23179380217752,3e-06,1
Qwen,1.5B,SFT,2024,74,1,98.26255720177612,3e-06,1
Qwen,1.5B,SFT,2024,75,1,98.25155212139565,3e-06,1
Qwen,1.5B,SFT,2024,76,1,98.23564691151556,3e-06,1
Qwen,1.5B,SFT,2024,77,1,98.23316756673648,3e-06,1
Qwen,1.5B,SFT,2024,78,1,98.23591924169928,3e-06,1
Qwen,1.5B,SFT,2024,79,1,98.2361687697363,3e-06,1
Qwen,1.5B,SFT,2024,80,1,98.24488780535391,3e-06,1
Qwen,1.5B,SFT,2024,81,1,98.24488340039376,3e-06,1
Qwen,1.5B,SFT,2024,82,1,98.24621531783124,3e-06,1
Qwen,1.5B,SFT,2024,83,1,98.24707596931096,3e-06,1
Qwen,1.5B,SFT,2024,84,1,98.25844018350173,3e-06,1
Qwen,1.5B,SFT,2024,85,1,98.27610601708851,3e-06,1
Qwen,1.5B,SFT,2024,86,1,98.28124161761994,3e-06,1
Qwen,1.5B,SFT,2024,87,1,98.28699851186971,3e-06,1
Qwen,1.5B,SFT,2024,88,1,98.28897186924038,3e-06,1
Qwen,1.5B,SFT,2024,89,1,98.31598062331616,3e-06,1
Qwen,1.5B,SFT,2024,90,1,98.34111189268347,3e-06,1
Qwen,1.5B,SFT,2024,91,1,98.36853302876438,3e-06,1
Qwen,1.5B,SFT,2024,92,1,98.39525248060409,3e-06,1
Qwen,1.5B,SFT,2024,93,1,98.41231444597666,3e-06,1
Qwen,1.5B,SFT,2024,94,1,98.42118260245128,3e-06,1
Qwen,1.5B,SFT,2024,95,1,98.4378134647381,3e-06,1
Qwen,1.5B,SFT,2024,96,1,98.45621168772949,3e-06,1
Qwen,1.5B,SFT,2024,97,1,98.46542045127023,3e-06,1
Qwen,1.5B,SFT,2024,98,1,98.48481283490135,3e-06,1
Qwen,1.5B,SFT,9999,0,1,99.84038290028049,3e-06,1
Qwen,1.5B,SFT,9999,1,1,99.68621428282107,3e-06,1
Qwen,1.5B,SFT,9999,2,1,99.67722421259627,3e-06,1
Qwen,1.5B,SFT,9999,3,1,99.37731366645419,3e-06,1
Qwen,1.5B,SFT,9999,4,1,99.36463858794431,3e-06,1
Qwen,1.5B,SFT,9999,5,1,99.35892995391976,3e-06,1
Qwen,1.5B,SFT,9999,6,1,98.8143959699942,3e-06,1
Qwen,1.5B,SFT,9999,7,1,98.77225714946799,3e-06,1
Qwen,1.5B,SFT,9999,8,1,98.75705634453978,3e-06,1
Qwen,1.5B,SFT,9999,9,1,98.74899876551251,3e-06,1
Qwen,1.5B,SFT,9999,10,1,98.74473243204463,3e-06,1
Qwen,1.5B,SFT,9999,11,1,98.73863227479688,3e-06,1
Qwen,1.5B,SFT,9999,12,1,98.13677673870929,3e-06,1
Qwen,1.5B,SFT,9999,13,1,97.83544274264884,3e-06,1
Qwen,1.5B,SFT,9999,14,1,97.75376085392547,3e-06,1
Qwen,1.5B,SFT,9999,15,1,97.7174199974246,3e-06,1
Qwen,1.5B,SFT,9999,16,1,97.70160897595726,3e-06,1
Qwen,1.5B,SFT,9999,17,1,97.69417301454246,3e-06,1
Qwen,1.5B,SFT,9999,18,1,97.69265414541368,3e-06,1
Qwen,1.5B,SFT,9999,19,1,97.69261307563812,3e-06,1
Qwen,1.5B,SFT,9999,20,1,97.72312357870075,3e-06,1
Qwen,1.5B,SFT,9999,21,1,97.7558834617108,3e-06,1
Qwen,1.5B,SFT,9999,22,1,97.79014193807717,3e-06,1
Qwen,1.5B,SFT,9999,23,1,97.8232014231566,3e-06,1
