model,experiment,file_name,file_path,step,sample_idx,original_size_bytes,num_layers,total_nnz,total_params,sparsity_pct,method,compressed_size_bytes,compression_ratio,space_savings_pct,preprocess_time,compress_time,decompress_time,total_time,compress_speed_mb_s,decompress_speed_mb_s,is_lossless,original_hash,decompressed_hash,indices_orig_bytes,indices_comp_bytes,values_orig_bytes,values_comp_bytes,metadata_orig_bytes,metadata_comp_bytes,error_msg
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,separate+zstd-3,93167852,3.977130641586542,74.85624461154026,0.29760497342795134,1.9936440903693438,0.5160713288933039,2.291249063797295,177.2508787300841,684.740940076647,True,425dbd3736ca6053,7898f7de08a7a660,296311996,66422137,74078070,26740450,37820,5265,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,separate+zstd-9,88290932,4.1968151270619725,76.17240765379958,0.22511794324964285,8.832299741916358,0.5758003452792764,9.057417685166001,40.00941739057567,613.7112799430683,True,425dbd3736ca6053,7898f7de08a7a660,296311996,62525258,74078070,25760696,37820,4978,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,delta-enc+zstd-3,31626908,11.715995727435638,91.46466059510183,6.21671549230814,1.0020607048645616,0.5219964748248458,7.218776197172701,352.64846249087026,676.9684929607604,True,425dbd3736ca6053,8a706e922f16d243,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,delta-enc+zstd-9,29844647,12.415650920582173,91.94564983828404,5.9326771311461926,4.780261570587754,0.3850907860323787,10.712938701733947,73.92381393254101,917.6411893254007,True,425dbd3736ca6053,8a706e922f16d243,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,combined+zstd-9,29523810,12.550572537893991,92.03223600373053,5.786075437441468,5.122604829259217,0.3877552626654506,10.908680266700685,68.9834915382507,911.335579210158,True,425dbd3736ca6053,a444ca8a4cfd2b62,296311996,3758136,74078070,25760696,37820,4978,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,zstd-1,100785424,3.611473133257841,72.31046824657064,0,1.1596470894291997,0.5218067700043321,1.1596470894291997,299.33421421874084,665.2310208287591,True,2f1bbca872625eef,2f1bbca872625eef,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,zstd-3,92110723,3.951590424493791,74.69373359643913,0,2.443493648432195,0.5812472505494952,2.443493648432195,142.05973095451313,597.2020512048525,True,2f1bbca872625eef,2f1bbca872625eef,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,zstd-9,87247478,4.17185527127787,76.02984919240276,0,10.089810396544635,0.6548185758292675,10.089810396544635,34.40322827118883,530.1041587675505,True,2f1bbca872625eef,2f1bbca872625eef,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,brotli-6,84738636,4.295370661854883,76.71912207995184,0,14.331803500652313,1.4672235576435924,14.331803500652313,24.220402566190646,236.58429451802724,True,2f1bbca872625eef,2f1bbca872625eef,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000049.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000049.pt,49,3,363983851,261,36383302,3879944448,99.06227260499169,gzip-6,100645947,3.6164779789890598,72.3487878037754,0,26.480991267599165,1.4016767963767052,26.480991267599165,13.10834805153464,247.647711071939,True,2f1bbca872625eef,2f1bbca872625eef,0,0,0,0,0,0,
